2025-12-28 10:57:38,483 | INFO | push_on_max_http             | http         | returned   |     0.001366s | records=10
2025-12-28 10:57:38,485 | INFO | push_on_max_http             | http         | returned   |     0.001426s | records=10
2025-12-28 10:57:38,487 | INFO | push_on_max_http             | http         | returned   |     0.001564s | records=10
2025-12-28 10:57:38,489 | INFO | push_on_max_http             | http         | returned   |     0.001499s | records=10
2025-12-28 10:57:38,491 | INFO | push_on_max_http             | http         | returned   |     0.001399s | records=10
2025-12-28 10:57:38,493 | INFO | push_on_max_http             | http         | returned   |     0.001428s | records=10
2025-12-28 10:57:38,495 | INFO | push_on_max_http             | http         | returned   |     0.001425s | records=10
2025-12-28 10:57:38,497 | INFO | push_on_max_http             | http         | returned   |     0.001328s | records=10
2025-12-28 10:57:38,499 | INFO | push_on_max_http             | http         | returned   |     0.001461s | records=10
2025-12-28 10:57:38,501 | INFO | push_on_max_http             | http         | returned   |     0.001494s | records=10
2025-12-28 10:57:38,503 | INFO | push_on_max_http             | http         | returned   |     0.001491s | records=10
2025-12-28 10:57:38,505 | INFO | push_on_max_http             | http         | returned   |     0.001473s | records=10
2025-12-28 10:57:38,507 | INFO | push_on_max_http             | http         | returned   |     0.001334s | records=10
2025-12-28 10:57:38,509 | INFO | push_on_max_http             | http         | returned   |     0.001322s | records=10
2025-12-28 10:57:38,511 | INFO | push_on_max_http             | http         | returned   |     0.001386s | records=10
2025-12-28 10:57:38,513 | INFO | push_on_max_http             | http         | returned   |     0.001377s | records=10
2025-12-28 10:57:38,515 | INFO | push_on_max_http             | http         | returned   |     0.001301s | records=10
2025-12-28 10:57:38,517 | INFO | push_on_max_http             | http         | returned   |     0.001278s | records=10
2025-12-28 10:57:38,519 | INFO | push_on_max_http             | http         | returned   |     0.001328s | records=10
2025-12-28 10:57:38,521 | INFO | push_on_max_http             | http         | returned   |     0.001414s | records=10
2025-12-28 10:57:38,523 | INFO | push_on_max_http             | http         | returned   |     0.001375s | records=10
2025-12-28 10:57:38,525 | INFO | push_on_max_http             | http         | returned   |     0.001314s | records=10
2025-12-28 10:57:38,526 | INFO | push_on_max_http             | http         | returned   |     0.001187s | records=10
2025-12-28 10:57:38,528 | INFO | push_on_max_http             | http         | returned   |     0.001361s | records=10
2025-12-28 10:57:38,530 | INFO | push_on_max_http             | http         | returned   |     0.001266s | records=10
2025-12-28 10:57:38,532 | INFO | push_on_max_http             | http         | returned   |     0.001293s | records=10
2025-12-28 10:57:38,534 | INFO | push_on_max_http             | http         | returned   |     0.001516s | records=10
2025-12-28 10:57:38,536 | INFO | push_on_max_http             | http         | returned   |     0.001367s | records=10
2025-12-28 10:57:38,538 | INFO | push_on_max_http             | http         | returned   |     0.001224s | records=10
2025-12-28 10:57:38,539 | INFO | push_on_max_http             | http         | returned   |     0.001208s | records=10
2025-12-28 10:57:38,541 | INFO | push_on_max_http             | http         | returned   |     0.001431s | records=10
2025-12-28 10:57:38,543 | INFO | push_on_max_http             | http         | returned   |     0.001374s | records=10
2025-12-28 10:57:38,545 | INFO | push_on_max_http             | http         | returned   |     0.001422s | records=10
2025-12-28 10:57:38,547 | INFO | push_on_max_http             | http         | returned   |     0.001301s | records=10
2025-12-28 10:57:38,549 | INFO | push_on_max_http             | http         | returned   |     0.001159s | records=10
2025-12-28 10:57:38,551 | INFO | push_on_max_http             | http         | returned   |     0.001215s | records=10
2025-12-28 10:57:38,553 | INFO | push_on_max_http             | http         | returned   |     0.001476s | records=10
2025-12-28 10:57:38,555 | INFO | push_on_max_http             | http         | returned   |     0.001400s | records=10
2025-12-28 10:57:38,557 | INFO | push_on_max_http             | http         | returned   |     0.001466s | records=10
2025-12-28 10:57:38,559 | INFO | push_on_max_http             | http         | returned   |     0.001255s | records=10
2025-12-28 10:57:38,561 | INFO | push_on_max_http             | http         | returned   |     0.001330s | records=10
2025-12-28 10:57:38,562 | INFO | push_on_max_http             | http         | returned   |     0.001325s | records=10
2025-12-28 10:57:38,564 | INFO | push_on_max_http             | http         | returned   |     0.001356s | records=10
2025-12-28 10:57:38,566 | INFO | push_on_max_http             | http         | returned   |     0.001318s | records=10
2025-12-28 10:57:38,568 | INFO | push_on_max_http             | http         | returned   |     0.001436s | records=10
2025-12-28 10:57:38,570 | INFO | push_on_max_http             | http         | returned   |     0.001228s | records=10
2025-12-28 10:57:38,572 | INFO | push_on_max_http             | http         | returned   |     0.001190s | records=10
2025-12-28 10:57:38,573 | INFO | push_on_max_http             | http         | returned   |     0.001128s | records=10
2025-12-28 10:57:38,575 | INFO | push_on_max_http             | http         | returned   |     0.001311s | records=10
2025-12-28 10:57:38,577 | INFO | push_on_max_http             | http         | returned   |     0.001414s | records=10
2025-12-28 10:57:38,579 | INFO | push_on_max_http             | http         | returned   |     0.001491s | records=10
2025-12-28 10:57:38,581 | INFO | push_on_max_http             | http         | returned   |     0.001361s | records=10
2025-12-28 10:57:38,583 | INFO | push_on_max_http             | http         | returned   |     0.001312s | records=10
2025-12-28 10:57:38,585 | INFO | push_on_max_http             | http         | returned   |     0.001390s | records=10
2025-12-28 10:57:38,587 | INFO | push_on_max_http             | http         | returned   |     0.001221s | records=10
2025-12-28 10:57:38,589 | INFO | push_on_max_http             | http         | returned   |     0.001146s | records=10
2025-12-28 10:57:38,591 | INFO | push_on_max_http             | http         | returned   |     0.001416s | records=10
2025-12-28 10:57:38,593 | INFO | push_on_max_http             | http         | returned   |     0.001294s | records=10
2025-12-28 10:57:38,594 | INFO | push_on_max_http             | http         | returned   |     0.001232s | records=10
2025-12-28 10:57:38,596 | INFO | push_on_max_http             | http         | returned   |     0.001214s | records=10
2025-12-28 10:57:38,598 | INFO | push_on_max_http             | http         | returned   |     0.001211s | records=10
2025-12-28 10:57:38,600 | INFO | push_on_max_http             | http         | returned   |     0.001277s | records=10
2025-12-28 10:57:38,601 | INFO | push_on_max_http             | http         | returned   |     0.001184s | records=10
2025-12-28 10:57:38,604 | INFO | push_on_max_http             | http         | returned   |     0.001523s | records=10
2025-12-28 10:57:38,606 | INFO | push_on_max_http             | http         | returned   |     0.001515s | records=10
2025-12-28 10:57:38,608 | INFO | push_on_max_http             | http         | returned   |     0.001439s | records=10
2025-12-28 10:57:38,610 | INFO | push_on_max_http             | http         | returned   |     0.001534s | records=10
2025-12-28 10:57:38,612 | INFO | push_on_max_http             | http         | returned   |     0.001401s | records=10
2025-12-28 10:57:38,614 | INFO | push_on_max_http             | http         | returned   |     0.001299s | records=10
2025-12-28 10:57:38,616 | INFO | push_on_max_http             | http         | returned   |     0.001368s | records=10
2025-12-28 10:57:38,618 | INFO | push_on_max_grpc             | grpc         | returned   |     0.001562s | records=10
2025-12-28 10:57:38,619 | INFO | push_on_max_grpc             | grpc         | returned   |     0.000594s | records=10
2025-12-28 10:57:38,620 | INFO | push_on_max_grpc             | grpc         | returned   |     0.000515s | records=10
2025-12-28 10:57:38,621 | INFO | push_on_max_grpc             | grpc         | returned   |     0.000525s | records=10
2025-12-28 10:57:38,623 | INFO | push_on_max_grpc             | grpc         | returned   |     0.000524s | records=10
2025-12-28 10:57:38,624 | INFO | push_on_max_grpc             | grpc         | returned   |     0.000519s | records=10
2025-12-28 10:57:38,625 | INFO | push_on_max_grpc             | grpc         | returned   |     0.000516s | records=10
2025-12-28 10:57:38,626 | INFO | push_on_max_grpc             | grpc         | returned   |     0.000456s | records=10
2025-12-28 10:57:38,627 | INFO | push_on_max_grpc             | grpc         | returned   |     0.000428s | records=10
